School, Date, KWH, Therms,Date Set 2,KWH,Therms,Date Set 3,Kwh,Therms,,KWH Co2,Therm CO2,Total
Cupertino, 6/26/2023,63507,0, 6/21/2023,0,4589, 6/4/2023,5527,0,,26923.26,25193.61,52116.87
Cupertino, 5/25/2023,81306,0, 5/22/2023,0,6938, 5/3/2023,4724,0,,33551.7,38089.62,71641.32
Cupertino, 4/26/2023,84545,0, 4/21/2023,0,13400, 4/3/2023,3958,0,,34516.17,73566,108082.17
Cupertino, 3/27/2023,118452,0, 3/22/2023,0,17230, 3/5/2023,10016,0,,50102.52,94592.7,144695.22
Cupertino, 2/26/2023,138527,0, 2/21/2023,0,20016, 2/1/2023,12181,0,,58776.12,109887.84,168663.96
Cupertino, 1/25/2023,136989,0, 1/20/2023,0,16628, 1/3/2023,9550,0,,57150.21,91287.72,148437.93
Cupertino, 12/26/2022,148008,0, 12/20/2022,0,16164, 12/4/2022,13786,0,,63099.66,88740.36,151840.02
Cupertino, 11/27/2022,135158,0, 11/19/2022,0,11646, 11/1/2022,10642,0,,56862,63936.54,120798.54
Cupertino, 10/25/2022,109148,0, 10/20/2022,0,3871, 10/3/2022,8894,0,,46036.38,21251.79,67288.17
Cupertino, 9/26/2022,141172,0, 9/21/2022,0,2193, 9/1/2022,7327,0,,57914.61,12039.57,69954.18
Cupertino, 8/25/2022,70126,0, 8/22/2022,0,2127, 8/3/2022,4153,0,,28968.81,11677.23,40646.04
Cupertino, 7/26/2022,24962,0, 7/21/2022,0,1918, 7/4/2022,4478,0,,11481.6,10529.82,22011.42
Cupertino, 6/26/2022,49463,0, 6/21/2022,0,3561, 6/2/2022,5287,0,,21352.5,19549.89,40902.39
Cupertino, 5/25/2022,69764,0, 5/20/2022,0,7613, 5/3/2022,4392,0,,28920.84,41795.37,70716.21
Cupertino, 4/26/2022,74650,0, 4/21/2022,0,8324, 4/3/2022,5586,0,,31292.04,45698.76,76990.8
Cupertino, 3/27/2022,97700,0, 3/22/2022,0,11773, 3/3/2022,8436,0,,41393.04,64633.77,106026.81
Cupertino, 2/24/2022,114279,0, 2/18/2022,0,14126, 2/1/2022,9986,0,,48463.35,77551.74,126015.09
Cupertino, 1/25/2022,119706,0, 1/20/2022,0,15818, 1/2/2022,7401,0,,49571.73,86840.82,136412.55
Cupertino, 12/26/2021,125851,0, 12/21/2021,0,15788, 12/3/2021,10274,0,,53088.75,86676.12,139764.87
Cupertino, 11/28/2021,133545,0, 11/19/2021,0,8081, 11/2/2021,8333,0,,55332.42,44364.69,99697.11
Cupertino, 10/26/2021,106139,0, 10/21/2021,0,6914, 10/4/2021,7188,0,,44197.53,37957.86,82155.39
Cupertino, 9/27/2021,140189,, 9/22/2021,0,2926, 9/2/2021,5273,0,,56730.18,16063.74,72793.92
Cupertino, 8/26/2021,89783,0, 8/23/2021,0,1913, 8/4/2021,3033,0,,36198.24,10502.37,46700.61
Cupertino, 7/27/2021,42560,0, 7/22/2021,0,1961, 7/5/2021,3429,0,,17935.71,10765.89,28701.6
Cupertino, 6/27/2021,42465,0, 6/22/2021,0,4348, 6/3/2021,6341,0,,19034.34,23870.52,42904.86
Cupertino, 5/26/2021,46958,0, 5/21/2021,0,6232, 5/4/2021,5420,0,,20427.42,34213.68,54641.1
Cupertino, 4/27/2021,38385,0, 4/22/2021,0,8725, 4/4/2021,6073,0,,17338.62,47900.25,65238.87
Cupertino, 3/28/2021,33999,0, 3/23/2021,0,6826, 3/4/2021,3476,0,,14615.25,37474.74,52089.99
Cupertino, 2/25/2021,45093,0, 2/22/2021,0,5632, 2/2/2021,2575,0,,18590.52,30919.68,49510.2
Cupertino, 1/26/2021,59757,0, 1/21/2021,0,6271, 1/4/2021,2422,0,,24249.81,34427.79,58677.6
Cupertino, 12/27/2020,66638,0, 12/21/2020,0,8608, 12/3/2020,5068,0,,27965.34,47257.92,75223.26
Cupertino, 11/24/2020,84170,0, 11/19/2020,0,9122, 11/2/2020,3946,0,,34365.24,50079.78,84445.02
Cupertino, 10/26/2020,92290,0, 10/21/2020,0,3071, 10/1/2020,2727,0,,37056.63,16859.79,53916.42
Cupertino, 9/24/2020,86427,0, 9/21/2020,0,776, 9/1/2020,2928,0,,34848.45,4260.24,39108.69
Cupertino, 8/25/2020,73263,0, 8/20/2020,0,593, 8/2/2020,2696,0,,29624.01,3255.57,32879.58
Cupertino, 7/26/2020,36946,0, 7/21/2020,0,648, 7/2/2020,2387,0,,15339.87,3557.52,18897.39
Cupertino, 6/25/2020,56128,0, 6/22/2020,0,708, 6/3/2020,2979,0,,23051.73,3886.92,26938.65
Cupertino, 5/27/2020,59584,0, 5/21/2020,0,835, 5/4/2020,2634,0,,24265.02,4584.15,28849.17
Cupertino, 4/27/2020,78120,0, 4/22/2020,0,4110, 4/2/2020,2381,0,,31395.39,22563.9,53959.29
Cupertino, 3/26/2020,123627,0, 3/23/2020,0,8795, 3/4/2020,8377,0,,51481.56,48284.55,99766.11
Cupertino, 2/26/2020,131759,0, 2/21/2020,0,13805, 2/3/2020,11065,0,,55701.36,75789.45,131490.81
Cupertino, 1/27/2020,140561,0, 1/22/2020,0,19123, 1/3/2020,7635,0,,57796.44,104985.27,162781.71
Cupertino, 12/26/2019,141032,0, 12/20/2019,0,13317, 12/4/2019,11821,0,,59612.67,73110.33,132723
Cupertino, 11/25/2019,144024,0, 11/20/2019,0,7514, 11/3/2019,7306,0,,59018.7,41251.86,100270.56
Cupertino, 10/27/2019,165064,0, 10/22/2019,0,5848, 10/3/2019,6421,0,,66879.15,32105.52,98984.67
Cupertino, 9/26/2019,186138,0, 9/23/2019,0,2054, 9/4/2019,5470,0,,74727.12,11276.46,86003.58
Cupertino, 8/27/2019,159106,0, 8/22/2019,0,1314, 8/4/2019,3233,0,,63312.21,7213.86,70526.07
Cupertino, 7/28/2019,124974,0, 7/23/2019,0,709, 7/4/2019,3586,0,,50138.4,3892.41,54030.81
Cupertino, 6/26/2019,135055,0, 6/21/2019,0,1732, 6/4/2019,3056,0,,53863.29,9508.68,63371.97
Cupertino, 5/28/2019,137817,0, 5/22/2019,0,4076, 5/5/2019,3465,0,,55099.98,22377.24,77477.22
Cupertino, 4/28/2019,132747,0, 4/23/2019,0,6542, 4/3/2019,4054,0,,53352.39,35915.58,89267.97
Cupertino, 3/27/2019,124152,0, 3/22/2019,0,9970, 3/5/2019,6982,0,,51142.26,54735.3,105877.56
Cupertino, 2/26/2019,128038,0, 2/21/2019,0,10775, 2/3/2019,8282,0,,53164.8,59154.75,112319.55
Cupertino, 1/27/2019,134562,0, 1/22/2019,0,6167, 1/3/2019,6212,0,,54901.86,33856.83,88758.69
Cupertino, 12/26/2018,133951,0, 12/20/2018,0,5704, 12/3/2018,5984,0,,54574.65,31314.96,85889.61
Cupertino, 11/27/2018,150171,0, 11/20/2018,0,5683, 11/1/2018,8145,0,,61743.24,31199.67,92942.91
,,,,,,,,,,,,Total: ,4582816.08
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
OMISSION: ,Cupertino, 7/4/2023,5173,,,,,,,,,,