School, Date Set 1, KWH, Therms,,KWH Co2,Therms CO2,Total
Lynbrook, 6/22/2023,0,4787,,0,26280.63,26280.63
Lynbrook, 5/23/2023,0,6172,,0,33884.28,33884.28
Lynbrook, 4/24/2023,0,12471,,0,68465.79,68465.79
Lynbrook, 3/23/2023,0,15357,,0,84309.93,84309.93
Lynbrook, 2/22/2023,0,13086,,0,71842.14,71842.14
Lynbrook, 1/23/2023,0,15182,,0,83349.18,83349.18
Lynbrook, 12/21/2022,0,15512,,0,85160.88,85160.88
Lynbrook, 11/21/2022,0,14372,,0,78902.28,78902.28
Lynbrook, 10/21/2022,0,5100,,0,27999,27999
Lynbrook, 9/22/2022,0,4200,,0,23058,23058
Lynbrook, 8/23/2022,0,1553,,0,8525.97,8525.97
Lynbrook, 7/22/2022,0,769,,0,4221.81,4221.81
Lynbrook, 6/22/2022,0,923,,0,5067.27,5067.27
Lynbrook, 5/23/2022,0,6228,,0,34191.72,34191.72
Lynbrook, 4/22/2022,0,7038,,0,38638.62,38638.62
Lynbrook, 3/23/2022,0,7798,,0,42811.02,42811.02
Lynbrook, 2/22/2022,0,13629,,0,74823.21,74823.21
Lynbrook, 1/21/2022,0,10285,,0,56464.65,56464.65
Lynbrook, 12/22/2021,0,16339,,0,89701.11,89701.11
Lynbrook, 11/22/2021,0,9520,,0,52264.8,52264.8
Lynbrook, 10/22/2021,0,6482,,0,35586.18,35586.18
Lynbrook, 9/23/2021,0,2889,,0,15860.61,15860.61
Lynbrook, 8/24/2021,0,1740,,0,9552.6,9552.6
Lynbrook, 7/23/2021,0,1332,,0,7312.68,7312.68
Lynbrook, 6/23/2021,0,2531,,0,13895.19,13895.19
Lynbrook, 5/24/2021,0,4108,,0,22552.92,22552.92
Lynbrook, 4/23/2021,0,7484,,0,41087.16,41087.16
Lynbrook, 3/24/2021,0,9575,,0,52566.75,52566.75
Lynbrook, 2/23/2021,0,8845,,0,48559.05,48559.05
Lynbrook, 1/22/2021,0,3381,,0,18561.69,18561.69
Lynbrook, 12/22/2020,0,3114,,0,17095.86,17095.86
Lynbrook, 11/20/2020,0,2332,,0,12802.68,12802.68
Lynbrook, 10/22/2020,0,187,,0,1026.63,1026.63
Lynbrook, 9/22/2020,0,677,,0,3716.73,3716.73
Lynbrook, 8/22/2020,0,62,,0,340.38,340.38
Lynbrook, 7/22/2020,0,62,,0,340.38,340.38
Lynbrook, 6/23/2020,0,458,,0,2514.42,2514.42
Lynbrook, 5/22/2020,0,405,,0,2223.45,2223.45
Lynbrook, 4/23/2020,0,1089,,0,5978.61,5978.61
Lynbrook, 3/24/2020,0,10864,,0,59643.36,59643.36
Lynbrook, 2/24/2020,0,15788,,0,86676.12,86676.12
Lynbrook, 1/23/2020,0,16697,,0,91666.53,91666.53
Lynbrook, 12/23/2019,0,15198,,0,83437.02,83437.02
Lynbrook, 11/21/2019,0,9528,,0,52308.72,52308.72
Lynbrook, 10/23/2019,0,9340,,0,51276.6,51276.6
Lynbrook, 9/25/2019,0,3684,,0,20225.16,20225.16
Lynbrook, 8/23/2019,0,976,,0,5358.24,5358.24
Lynbrook, 7/24/2019,0,1366,,0,7499.34,7499.34
Lynbrook, 6/24/2019,0,2056,,0,11287.44,11287.44
Lynbrook, 5/24/2019,0,7556,,0,41482.44,41482.44
Lynbrook, 4/24/2019,0,9404,,0,51627.96,51627.96
Lynbrook, 3/25/2019,0,14403,,0,79072.47,79072.47
Lynbrook, 2/22/2019,0,18510,,0,101619.9,101619.9
Lynbrook, 1/23/2019,0,10641,,0,58419.09,58419.09
Lynbrook, 12/21/2018,0,11507,,0,63173.43,63173.43
Lynbrook, 11/21/2018,0,8343,,0,45803.07,45803.07